product,category,sub_category,brand,sale_price,rating
Sunblock Lotion,Beauty & Hygiene,Skin Care,Aroma Magic ,178.5,4.1
Copper Water Fliptop Bottle - Stripes,"Kitchen, Garden & Pets",Steel Utensils,Frestol,549.0,2.4
"Long & Black Shampoo - With Goodness Of Amla & Bhringraj, For Shiny, Black Hair",Beauty & Hygiene,Hair Care,Dabur Vatika,171.0,4.2
Toothpaste - Complete Care,Beauty & Hygiene,Oral Care,Neem ,65.0,4.3
Olive Oil - Pomace,Gourmet & World Food,Oils & Vinegar,Oleiva Gold,3330.0,3.5
Bonacure Conditioner - Repair Rescue,Beauty & Hygiene,Hair Care,Schwarzkopf Professional,900.0,5.0
Vegan Chipotle Mayo - Dairy-Free,Gourmet & World Food,"Sauces, Spreads & Dips",Urban Platter,332.5,3.4
"Oregano - Organic, USDA Certified",Gourmet & World Food,Cooking & Baking Needs,Geo-Fresh,99.0,4.2
Multigrain Energy Bar - Nuts n Seed,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Yoga bar,40.0,4.0
Active Fresh Gel Toothpaste,Beauty & Hygiene,Oral Care,Himalaya,45.0,4.3
Hydro Replenish Radiance Day Crème with SPF 15,Beauty & Hygiene,Skin Care,Kaya Youth,104.3,4.3
Anti-Hair Fall Shampoo,Beauty & Hygiene,Hair Care,Himalaya,123.5,4.2
"Cereal - Ragi, Rice & Mango With Milk",Baby Care,Baby Food & Formula,Slurrp Farm,300.0,4.0
Fenugreek/Methi/Menthya,"Foodgrains, Oil & Masala",Masalas & Spices,bb Popular,18.4,4.1
